sid,A,B,C,D,Vth,out_mult,out_log
2,50,50,20,20,1887,1,0
2,50,50,20,20,1888,1,0
2,50,50,20,20,1889,1,0
2,50,50,20,20,1890,1,0
2,50,50,20,20,1891,1,0
2,50,50,20,20,1892,1,0
2,50,50,20,20,1893,1,0
2,50,50,20,20,1894,1,0
2,50,50,20,20,1895,1,0
2,50,50,20,20,1896,1,0
2,50,50,20,20,1897,1,0
2,50,50,20,20,1898,1,0
2,50,50,20,20,1899,1,0
2,50,50,20,20,1900,1,0
2,50,50,20,20,1901,1,0
2,50,50,20,20,1902,1,0
2,50,50,20,20,1903,1,0
2,50,50,20,20,1904,1,0
2,50,50,20,20,1905,1,0
2,50,50,20,20,1906,1,0
2,50,50,20,20,1907,1,0
2,50,50,20,20,1908,1,0
2,50,50,20,20,1909,1,0
2,50,50,20,20,1910,1,0
2,50,50,20,20,1911,1,0
2,50,50,20,20,1912,1,0
2,50,50,20,20,1913,1,0
2,50,50,20,20,1914,1,0
2,50,50,20,20,1915,1,0
2,50,50,20,20,1916,1,0
2,50,50,20,20,1917,1,0
2,50,50,20,20,1918,1,0
2,50,50,20,20,1919,1,0
2,50,50,20,20,1920,1,0
2,50,50,20,20,1921,1,0
2,50,50,20,20,1922,1,0
2,50,50,20,20,1923,1,0
2,50,50,20,20,1924,1,0
2,50,50,20,20,1925,1,0
2,50,50,20,20,1926,1,0
2,50,50,20,20,1927,1,0
2,50,50,20,20,1928,1,0
2,50,50,20,20,1929,1,0
2,50,50,20,20,1930,1,0
2,50,50,20,20,1931,1,0
2,50,50,20,20,1932,1,0
2,50,50,20,20,1933,1,0
2,50,50,20,20,1934,1,0
2,50,50,20,20,1935,1,0
2,50,50,20,20,1936,1,0
2,50,50,20,20,1937,1,0
2,50,50,20,20,1938,1,0
2,50,50,20,20,1939,1,0
2,50,50,20,20,1940,1,0
2,50,50,20,20,1941,1,0
2,50,50,20,20,1942,1,0
2,50,50,20,20,1943,1,0
2,50,50,20,20,1944,1,0
2,50,50,20,20,1945,1,0
2,50,50,20,20,1946,1,0
2,50,50,20,20,1947,1,0
2,50,50,20,20,1948,1,0
2,50,50,20,20,1949,1,0
2,50,50,20,20,1950,1,0
2,50,50,20,20,1951,1,0
2,50,50,20,20,1952,1,0
2,50,50,20,20,1953,1,0
2,50,50,20,20,1954,1,0
2,50,50,20,20,1955,1,0
2,50,50,20,20,1956,1,0
2,50,50,20,20,1957,1,0
2,50,50,20,20,1958,1,0
2,50,50,20,20,1959,1,0
2,50,50,20,20,1960,1,0
2,50,50,20,20,1961,1,0
2,50,50,20,20,1962,1,0
2,50,50,20,20,1963,1,0
2,50,50,20,20,1964,1,0
2,50,50,20,20,1965,1,0
2,50,50,20,20,1966,1,0
2,50,50,20,20,1967,1,0
2,50,50,20,20,1968,1,0
2,50,50,20,20,1969,1,0
2,50,50,20,20,1970,1,0
2,50,50,20,20,1971,1,0
2,50,50,20,20,1972,1,0
2,50,50,20,20,1973,1,0
2,50,50,20,20,1974,1,0
2,50,50,20,20,1975,1,0
2,50,50,20,20,1976,1,0
2,50,50,20,20,1977,1,0
2,50,50,20,20,1978,1,0
2,50,50,20,20,1979,1,0
2,50,50,20,20,1980,1,0
2,50,50,20,20,1981,1,0
2,50,50,20,20,1982,1,0
2,50,50,20,20,1983,1,0
2,50,50,20,20,1984,1,0
2,50,50,20,20,1985,1,0
2,50,50,20,20,1986,1,0
2,50,50,20,20,1987,1,0
2,50,50,20,20,1988,1,0
2,50,50,20,20,1989,1,0
2,50,50,20,20,1990,1,0
2,50,50,20,20,1991,1,0
2,50,50,20,20,1992,1,0
2,50,50,20,20,1993,1,0
2,50,50,20,20,1994,1,0
2,50,50,20,20,1995,1,0
2,50,50,20,20,1996,1,0
2,50,50,20,20,1997,1,0
2,50,50,20,20,1998,1,0
2,50,50,20,20,1999,1,0
2,50,50,20,20,2000,1,0
2,50,50,20,20,2001,1,0
2,50,50,20,20,2002,1,0
2,50,50,20,20,2003,1,0
2,50,50,20,20,2004,1,0
2,50,50,20,20,2005,1,0
2,50,50,20,20,2006,1,0
2,50,50,20,20,2007,1,0
2,50,50,20,20,2008,1,0
2,50,50,20,20,2009,1,0
2,50,50,20,20,2010,1,0
2,50,50,20,20,2011,1,0
2,50,50,20,20,2012,1,0
2,50,50,20,20,2013,1,0
2,50,50,20,20,2014,1,0
2,50,50,20,20,2015,1,0
2,50,50,20,20,2016,1,0
2,50,50,20,20,2017,1,0
2,50,50,20,20,2018,1,0
2,50,50,20,20,2019,1,0
2,50,50,20,20,2020,1,0
2,50,50,20,20,2021,1,0
2,50,50,20,20,2022,1,0
2,50,50,20,20,2023,1,0
